lemmas,label
surface water irrigation infrastructure,earth system modeling
surface water storage,earth system modeling
surface water variability,earth system modeling
surge wave height,complexity science
suspend sediment,complexity science
susquehanna river,complexity science
susquehanna river basin,complexity science
supply resource,complexity science
support,complexity science
support policy,complexity science
support real world policy,complexity science
support seeker,complexity science
support service,complexity science
support infrastructure,complexity science
suppression difficulty,complexity science
surprise,complexity science
surrogate data,complexity science
surveillance,complexity science
surveillance data,complexity science
survey,complexity science
survey data,complexity science
survival strategy,complexity science
susceptibility,complexity science
surge,other
surface air temperature,other
surface air warm,other
surface impact,other
surface reservoir level,other
earth system modelling,"sustainability approach, sustainability discourse, sustainability indicator, sustainability metric, sustainability water availability, sustainability orient policy making, sustainability plan, sustainability policy, sustainability problem, sustainability science, sustainability transition management, sustainability transition, sustainable adaptation, sustainable adaptation intervention, sustainable adaptation pathway, sustainable adaptation policy, sustainable adaptation strategy, sustainable agri food technology, sustainable agricultural development, sustainable agricultural practice, sustainable agricultural production system, sustainable agriculture, sustainable agriculture development, sustainable resilient city, sustainable balance, sustainable behaviour, sustainable business, sustainable city, sustainable climate change policy, sustainable coastal management, sustainable crop choice, sustainable crop production, sustainable crop production system, sustainable development climate finance mechanism, sustainable development goal, sustainable development goal, sustainable development goal, sustainable development goal sdgs, sustainable development index, sustainable development objective, sustainable development agriculture, sustainable development pathway, sustainable development project, sustainable drainage system, sustainable energy, sustainable energy development"
